"No.","Time","Source","Destination","Protocol","Length","Info"
"12454","521.369157054","10.0.2.15","18.192.151.104","MQTT","201","Publish Message [hospital/facility3/section1]"
"12456","521.377980253","10.0.2.15","35.158.43.69","MQTT","195","Publish Message [university/department2]"
"12458","521.430947610","18.192.151.104","10.0.2.15","MQTT","195","Publish Message [university/department2]"
"12460","521.910153026","10.0.2.15","5.196.78.28","MQTT","199","Publish Message [hospital/department2/area3]"
"12462","522.218878403","::1","::1","MQTT","237","Publish Message [university/room2/floor4/humidity]"
"12464","522.219045846","::1","::1","MQTT","238","Publish Message [university/room2/floor4/humidity]"
"12466","522.685386408","10.0.2.15","35.158.43.69","MQTT","91","Publish Message [metaverse/building3/area3/light]"
"12468","522.932113950","10.0.2.15","18.192.151.104","MQTT","194","Publish Message [metaverse/room2/area3]"
"12519","523.471725300","::1","::1","MQTT","225","Publish Message [university/building3]"
"12521","523.471889054","::1","::1","MQTT","226","Publish Message [university/building3]"
"12525","523.678261608","10.0.2.15","5.196.78.28","MQTT","87","Publish Message [metaverse/department2/room2]"
"12527","524.322378418","10.0.2.15","18.192.151.104","MQTT","199","Publish Message [university/facility3/room2]"
"12529","524.401806692","18.192.151.104","10.0.2.15","MQTT","199","Publish Message [university/facility3/room2]"
"12531","524.402062496","18.192.151.104","10.0.2.15","MQTT","200","Publish Message [university/facility3/room2]"
"12533","524.629953634","10.0.2.15","5.196.78.28","MQTT","84","Publish Message [university/room2/floor4]"
"12535","524.703482235","10.0.2.15","35.158.43.69","MQTT","191","Publish Message [factory/facility3]"
"12537","524.780408748","18.192.151.104","10.0.2.15","MQTT","191","Publish Message [factory/facility3]"
"12539","524.977553879","::1","::1","MQTT","132","Publish Message [university/department2/floor4/pollution]"
"12541","524.978105490","::1","::1","MQTT","132","Publish Message [university/department2/floor4/pollution]"
"12543","525.069487689","10.0.2.15","18.192.151.104","MQTT","89","Publish Message [university/facility3/section1]"
"12545","525.096266563","18.192.151.104","10.0.2.15","MQTT","90","Publish Message [university/facility3/section1]"
"12547","525.098060269","18.192.151.104","10.0.2.15","MQTT","89","Publish Message [university/facility3/section1]"
"12549","526.269300108","10.0.2.15","35.158.43.69","MQTT","205","Publish Message [hospital/department2/room2/light]"
"12551","526.349610914","::1","::1","MQTT","220","Publish Message [metaverse/room2]"
"12553","526.349783357","::1","::1","MQTT","220","Publish Message [metaverse/room2]"
"12555","526.349904445","::1","::1","MQTT","220","Publish Message [metaverse/room2]"
"12557","526.349917665","::1","::1","MQTT","221","Publish Message [metaverse/room2]"
"12561","527.713541203","10.0.2.15","18.192.151.104","MQTT","80","Publish Message [hospital/department2]"
"12569","529.198892873","10.0.2.15","5.196.78.28","MQTT","195","Publish Message [metaverse/room2/room2]"
"12571","529.340491209","::1","::1","MQTT","233","Publish Message [metaverse/department2/floor4]"
"12573","529.340789652","::1","::1","MQTT","233","Publish Message [metaverse/department2/floor4]"
"12575","529.340801032","::1","::1","MQTT","233","Publish Message [metaverse/department2/floor4]"
"12577","529.665296622","10.0.2.15","35.158.43.69","MQTT","195","Publish Message [university/room2/area3]"
"12579","529.683762229","18.192.151.104","10.0.2.15","MQTT","195","Publish Message [university/room2/area3]"
"12581","529.684054698","18.192.151.104","10.0.2.15","MQTT","196","Publish Message [university/room2/area3]"
"12583","530.296580046","10.0.2.15","5.196.78.28","MQTT","196","Publish Message [metaverse/room2/floor4]"
"12585","530.387989521","10.0.2.15","18.192.151.104","MQTT","193","Publish Message [hospital/facility3]"
"12587","530.585073634","10.0.2.15","5.196.78.28","MQTT","190","Publish Message [factory/building3]"
"12593","531.060625946","10.0.2.15","35.158.43.69","MQTT","203","Publish Message [metaverse/department2/section1]"
"12595","531.109700203","10.0.2.15","18.192.151.104","MQTT","214","Publish Message [university/department2/section1/pollution]"
"12597","531.165425271","18.192.151.104","10.0.2.15","MQTT","215","Publish Message [university/department2/section1/pollution]"
"12599","531.165686240","18.192.151.104","10.0.2.15","MQTT","214","Publish Message [university/department2/section1/pollution]"
