"No.","Time","Source","Destination","Protocol","Length","Info"
"5110","81.702620021","10.0.2.15","5.196.78.28","MQTT","199","Publish Message [hospital/facility3/room2]"
"5116","82.183231485","10.0.2.15","5.196.78.28","MQTT","187","Publish Message [hospital/room2]"
"5188","83.649617878","10.0.2.15","5.196.78.28","MQTT","200","Publish Message [university/building3/area3]"
"5238","86.179347768","10.0.2.15","5.196.78.28","MQTT","203","Publish Message [metaverse/department2/section1]"
"5275","90.538844548","10.0.2.15","5.196.78.28","MQTT","83","Publish Message [factory/building3/room2]"
"5298","91.154654185","10.0.2.15","5.196.78.28","MQTT","199","Publish Message [hospital/department2/room2]"
"5396","92.775656605","10.0.2.15","5.196.78.28","MQTT","192","Publish Message [factory/department2]"
"5438","93.600654688","10.0.2.15","5.196.78.28","MQTT","193","Publish Message [university/facility3]"
"5474","96.842001374","10.0.2.15","5.196.78.28","MQTT","81","Publish Message [hospital/room2/floor4]"
"5569","101.536321277","10.0.2.15","5.196.78.28","MQTT","202","Publish Message [metaverse/department2/room2]"
"5679","105.931371025","10.0.2.15","5.196.78.28","MQTT","209","Publish Message [university/building3/area3/humidity]"
"5681","105.988623722","10.0.2.15","5.196.78.28","MQTT","80","Publish Message [factory/department2]"
"5691","106.329681772","10.0.2.15","5.196.78.28","MQTT","210","Publish Message [factory/room2/floor4/hydraulic_valve]"
"5693","106.782216880","10.0.2.15","5.196.78.28","MQTT","97","Publish Message [university/building3/room2/pollution]"
"5727","108.862718678","10.0.2.15","5.196.78.28","MQTT","204","Publish Message [university/room2/section1/light]"
"5755","110.737262157","10.0.2.15","5.196.78.28","MQTT","200","Publish Message [metaverse/department2/room2]"
"5763","111.875726635","10.0.2.15","5.196.78.28","MQTT","191","Publish Message [factory/facility3]"
"5765","111.919360372","10.0.2.15","5.196.78.28","MQTT","191","Publish Message [hospital/building3]"
"5850","116.033247178","10.0.2.15","5.196.78.28","MQTT","216","Publish Message [hospital/facility3/section1/hydraulic_valve]"
"5876","116.586258110","10.0.2.15","5.196.78.28","MQTT","195","Publish Message [metaverse/department2]"
"5929","118.459690018","10.0.2.15","5.196.78.28","MQTT","202","Publish Message [university/room2/floor4/light]"
"6003","122.409177911","10.0.2.15","5.196.78.28","MQTT","199","Publish Message [hospital/building3/floor4]"
"6116","125.101665172","10.0.2.15","5.196.78.28","MQTT","193","Publish Message [metaverse/facility3]"
"6198","128.296133037","10.0.2.15","5.196.78.28","MQTT","195","Publish Message [metaverse/department2]"
"6208","128.605508520","10.0.2.15","5.196.78.28","MQTT","192","Publish Message [hospital/building3]"
"6364","136.383580446","10.0.2.15","5.196.78.28","MQTT","193","Publish Message [hospital/department2]"
